a,0.3308809199985828;
b,0.6338787331868764;
b,0.5551560717916566;
b,0.8658028551845891;
b,0.45322945445064466;
c,0.9373631280363639;
c,0.8530317172867398;
c,0.12247371680006902;
c,0.19235271826628308;
c,0.842157937826491;
c,0.20914945053653355;
c,0.6194711528136544;
d,0.19667907660378747;
d,0.9268894045370049;
d,0.003926825819470681;
d,0.08916046635816466;
d,0.8720900526553972;
d,0.9470951150643291;
d,0.742820541565022;
d,0.2803840991324409;
d,0.7710326891693464;
d,0.8106569080527685;
d,0.8422308698651277;
e,0.6846837191081372;
e,0.11719717169212907;
e,0.9094606508053287;
f,0.3866688039109908;
f,0.23825622936278978;
f,0.7469387299175488;
f,0.40177325201883407;
f,0.4435196067684686;
f,0.597587531121813;
f,0.18644348756788964;
g,0.5716101972889982;
g,0.16753073782250316;
g,0.740071257909099;
g,0.6139343531230325;
g,0.14325411097709695;
h,0.8279959416384138;
h,0.8225763510469519;
h,0.4668110148226674;
h,0.7523094910696305;
h,0.2019214476654927;
h,0.7259251826167138;
h,0.48352654244228177;
i,0.2746276522156714;
i,0.22293551455465155;
i,0.13529178520868568;
i,0.5875038396858567;
i,0.18301066976618718;
i,0.9805171445596754;
i,0.22059883731094487;
j,0.7208245432725756;
j,0.1488092131342431;
j,0.29264229349546633;
j,0.2671476568083797;
j,0.24617118377747393;
j,0.9586052488686218;
k,0.09441470070147018;
k,0.8478745062699458;
k,0.0458796162667624;
k,0.4312326276148627;
k,0.03291786243682282;
l,0.48793099125635053;
l,0.9364200126227069;
l,0.9036436914431507;
l,0.8881745886560559;
l,0.10255528670650826;
l,0.37524334973063644;
l,0.943605219949871;
l,0.18584791490711405;
l,0.7084500726362727;
m,0.13784473201355874;
m,0.6960012862892303;
m,0.2619679800170339;
m,0.4705063762320838;
m,0.3721999112894312;
n,0.627377985952229;
o,0.1973600513338234;
o,0.6576707058231094;
o,0.30629631324193896;
o,0.42686778212967025;
o,0.7243223289131412;
o,0.8754010710164554;
p,0.39493804084731676;
p,0.3748694326401121;
q,0.46644699206294793;
q,0.4937619032724071;
q,0.8445159160332015;
q,0.8094535706127737;
q,0.18618045738982225;
r,0.5549311297025081;
r,0.6735791628133164;
r,0.42979235548780204;
r,0.15594268655148513;
r,0.3405207305675171;
r,0.9832922054684006;
r,0.45853913624203235;
s,0.552775218652334;
s,0.06006307846800374;
s,0.7750954785376278;
s,0.9988190654019871;
s,0.6213862093360643;
t,0.4509173756068652;
t,0.8765136704783554;
t,0.22336434678213613;
t,0.826574093031744;
t,0.8109102776708982;
t,0.672960708775633;
t,0.3884850779038228;
t,0.9259397983016544;
u,0.9441820625269148;
u,0.23436987230916917;
u,0.3305132591055906;
u,0.5149363828381271;
u,0.4990426641884723;
v,0.7947555907932109;
v,0.0012840850161330852;
v,0.4947188583614047;
v,0.21733063796238106;
v,0.08676780914361115;
w,0.883866397405353;
w,0.01777460176701462;
w,0.71025630165438;
w,0.1412845038630195;
w,0.5404134216408589;
x,0.6532997012509254;
x,0.37620673733561205;
x,0.7697823361191843;
x,0.0066339743209512525;
x,0.7854372644657815;
x,0.7483530292147357;
x,0.4060793645936934;
y,0.7777720595790791;
y,0.25421378672955686;
y,0.9130475267912479;
y,0.78940438231424;
y,0.026466052615265245;
y,0.0765004122170283;
y,0.23103274188719236;
y,0.6053826181158816;
y,0.7273122989083954;
y,0.8328684802540971;
y,0.9011388871726289;
z,0.07316257160675499;
z,0.32176724092117537;
z,0.45415869761628214;
z,0.46296023029774236;
z,0.1689530903588612;
z,0.4835625368559656;
