a,0.6279097416409163;
b,0.5445335535443887;
b,0.47104543681246214;
b,0.9648251600451403;
b,0.7087815095842943;
b,0.9266055507506675;
b,0.31695773044357;
c,0.6879000298883491;
c,0.8773388613370822;
c,0.7483935428560097;
c,0.012625351735274903;
d,0.0964778107256361;
d,0.06026285113599139;
d,0.8709074932206828;
d,0.11703319883452323;
d,0.9780117674694371;
d,0.8213334387894352;
d,0.5520944844006576;
e,0.6343390190061913;
e,0.2804207664244831;
e,0.5933211425630256;
e,0.982591834865642;
e,0.4715847840913885;
e,0.47144135532160225;
f,0.3436648673855538;
f,0.10879237761923499;
f,0.2711162094226536;
f,0.1260330303012419;
f,0.652391387284315;
f,0.8462077348497984;
f,0.8750957797652552;
g,0.34671272450949275;
g,0.9817881002580254;
g,0.2731214797475723;
g,0.19922558644446353;
g,0.1572805076236543;
g,0.7488123812993749;
h,0.990838220434301;
h,0.9907876022673247;
h,0.43178862437456333;
h,0.14785858844569777;
h,0.20788152754501266;
h,0.10262466668819126;
h,0.5537747763494139;
i,0.24241825435093967;
i,0.9950993943610692;
i,0.6767742825137484;
i,0.005624786504037305;
i,0.1710152119630033;
i,0.1380602497768476;
j,0.6630878158128076;
j,0.10267733600071172;
j,0.8394473672597141;
j,0.06602210084561266;
j,0.461062536914709;
k,0.641960692146123;
k,0.05688560541021803;
k,0.9568119311985293;
k,0.873174714659461;
k,0.19572040252845724;
l,0.7213392314917478;
l,0.5645052697460344;
l,0.07002225455624089;
l,0.6801907580236313;
l,0.04675081645577084;
l,0.541033914903867;
m,0.16987783913944887;
m,0.48159465392882317;
m,0.48577601858737973;
m,0.7804776796905538;
m,0.6703300102427666;
m,0.0037188800541134714;
m,0.16151153635159432;
m,0.6671502996066064;
m,0.8485303717002454;
n,0.3847006870897479;
n,0.8495212117789867;
n,0.8155620319586901;
n,0.6724809422321257;
o,0.7480232419315245;
o,0.09562379492157291;
o,0.21645052460475744;
o,0.664576680161041;
o,0.5907761753785833;
o,0.9699360057959668;
p,0.2368672132034081;
p,0.7686588800954379;
p,0.9351090449110545;
p,0.6937602389085663;
p,0.8948519200869117;
p,0.903884670365196;
p,0.7692725495070161;
q,0.5544945223296446;
q,0.3515827756855556;
q,0.1555383764817292;
q,0.665982447100313;
q,0.5218042110775254;
q,0.19164257397407924;
q,0.9854662060369173;
r,0.6376765705724445;
r,0.36213005636975537;
r,0.25534927497057247;
r,0.4374027335749361;
s,0.5861846762571186;
s,0.7804637812618376;
s,0.8857055083812372;
s,0.6836624860042435;
s,0.23544692016751367;
s,0.9233002187287445;
t,0.5347965043543134;
t,0.7188512743163568;
t,0.18419793883725655;
u,0.6720395476842318;
u,0.18245120518688362;
u,0.9684449953233564;
u,0.8349445242942685;
u,0.3194724624993678;
u,0.9670194973821149;
u,0.43469438721737563;
v,0.19435123282493783;
v,0.7904154788769302;
v,0.6103958524521718;
v,0.7929365953115795;
v,0.22457422305886598;
v,0.3818359633245244;
v,0.35751887622915735;
w,0.6516690475846896;
w,0.16816893908605446;
w,0.7704082710731035;
w,0.24195777037296173;
w,0.10494188918399816;
x,0.8655848103714002;
x,0.003767946263823152;
x,0.7403127317656213;
x,0.23581072503550404;
x,0.42699905315525555;
y,0.928208576204848;
y,0.9585875196832178;
y,0.6428408163071855;
y,0.8715203805662054;
y,0.043569774134431416;
z,0.6083040564824583;
z,0.9671407623197302;
z,0.7657554098431976;
z,0.7542167415777978;
z,0.7756277867205272;
z,0.28195944575617726;
z,0.9212776530332238;
z,0.8272656568324808;
z,0.9881760909700802;
