a,0.9573819588597786;
b,0.9426917326870771;
b,0.05238226387899736;
b,0.9218136826804704;
b,0.8409668250404858;
b,0.7801684218770093;
b,0.20706234480535624;
b,0.09104250478250464;
b,0.2004002099133837;
c,0.8874712333670025;
c,0.6975008723418484;
c,0.9883937431218995;
c,0.6552221855901613;
c,0.7033075231183141;
d,0.9746733726638706;
d,0.07497022958185828;
e,0.6924706080815627;
e,0.10135200909221664;
e,0.6071697149839127;
e,0.6540842086069714;
e,0.36085169248101256;
e,0.4560964547383721;
f,0.2716821546060463;
f,0.5854264869154148;
f,0.6764859636357238;
f,0.4842073588510559;
f,0.674256563719189;
f,0.935302033411109;
f,0.7936389808698884;
f,0.7692605098359013;
g,0.2561640512200576;
g,0.932364834369439;
g,0.235738234710261;
g,0.41786019569382615;
g,0.6163601182472696;
g,0.9417936920608503;
g,0.48835061622797493;
g,0.30927739147237054;
g,0.6132141402503728;
g,0.8064473472481722;
g,0.847066755179689;
h,0.9478948513711933;
h,0.4918250049340047;
h,0.6789809542677683;
h,0.6259039336563176;
h,0.805417422227258;
h,0.010342549074299101;
h,0.8895946989334492;
h,0.345365955540884;
h,0.045597002477619886;
i,0.1177091284032058;
i,0.27634127936815855;
i,0.15541211418961487;
i,0.01644746703742217;
i,0.5168842037353479;
i,0.33979825559835897;
j,0.5979887777217868;
j,0.31041497933418616;
j,0.5374835427676942;
j,0.10217879803739616;
j,0.9911661569539457;
j,0.4075972192690177;
j,0.08752279040280853;
k,0.9141410630892082;
k,0.8497804002337616;
k,0.8858179468125971;
k,0.7576793891382033;
k,0.533375131836337;
k,0.23363241729719553;
l,0.3041700753254378;
l,0.7724255838229495;
l,0.940361102852262;
l,0.9576539406267138;
l,0.21064466152599415;
l,0.4235014380458946;
m,0.14856479761745278;
m,0.22999536593077674;
m,0.5584017051177488;
m,0.3354627888840004;
m,0.4413930439970972;
m,0.8562656232699742;
n,0.773208284976048;
n,0.913108042862982;
n,0.7841328449382649;
n,0.29634923983620076;
n,0.5906008986070908;
o,0.1910770972917213;
o,0.13167891317793334;
o,0.020436251125146132;
o,0.9352506836188134;
p,0.831597004668005;
p,0.30332603167561056;
p,0.44555267608499305;
p,0.8139016504743529;
p,0.567637728650288;
p,0.5729041957426328;
p,0.03417234107626321;
q,0.703164329729753;
q,0.8700568826310171;
q,0.581616102713159;
q,0.6652864494379129;
q,0.5853390465218348;
q,0.8188036406542001;
r,0.6303766272789548;
r,0.0075140918485049335;
r,0.0782058536373419;
r,0.0854176741507986;
r,0.8983755600251473;
s,0.44491128290442017;
s,0.8471471677458579;
s,0.9477122302544749;
s,0.12287179640614021;
t,0.9570830785447861;
t,0.18943577713702664;
t,0.9909585742801507;
t,0.24717786538606767;
t,0.3562412763520413;
t,0.4680380361305978;
t,0.6147953729655021;
u,0.5274381108981373;
u,0.6903586744673729;
u,0.01821959557986208;
u,0.6702205049478616;
u,0.4530995366551719;
v,0.13590706946467623;
v,0.007961093226755533;
v,0.5641157496816877;
v,0.3482640125609414;
v,0.8654964122086358;
v,0.9804987766101122;
v,0.7718498906137274;
w,0.016892892556410688;
w,0.06792412931308722;
w,0.798041802205015;
w,0.15777804598547662;
w,0.24690115748356356;
x,0.03484664559018147;
x,0.5601005307245868;
x,0.13297507616930293;
x,0.9467756942049022;
y,0.10149032261932744;
y,0.4931851971228054;
z,0.6806569131694202;
z,0.7159992322451483;
z,0.7984324596075477;
z,0.8227571685384055;
z,0.9104432182032859;
z,0.6606561952865992;
z,0.5949519305824617;
z,0.5370351010070555;
