a,0.8260651139429761;
b,0.5014856893522619;
b,0.6675108449323178;
b,0.7213144998248217;
b,0.6298421144886032;
c,0.6261575424925871;
c,0.9342903299069861;
c,0.21383162944910683;
c,0.5643220584465304;
c,0.012156178064739231;
c,0.45468758791355435;
c,0.7190139291469386;
d,0.7008129590793507;
d,0.734243547165913;
d,0.8283216681816762;
e,0.9912099164867314;
e,0.8166991795447598;
e,0.28175336616299984;
e,0.5086141373817303;
e,0.8302378472653584;
e,0.6432424638776526;
f,0.4756868284217287;
f,0.7664257614210985;
f,0.33604681804467085;
f,0.5881246461702696;
g,0.28234227785470933;
g,0.41917771067116005;
g,0.37713123185833974;
g,0.4911596162225723;
g,0.9181481100581727;
g,0.4765212321775567;
g,0.3995000145612252;
g,0.984058852120087;
h,0.27100617741983624;
h,0.23907489374845436;
h,0.2726558892346551;
h,0.6245483435977066;
h,0.4073138583141621;
h,0.33370816016331306;
i,0.5412151243953964;
i,0.99567303906635;
i,0.9808772593893845;
i,0.2484674241159831;
i,0.7450129127856764;
i,0.89804295737708;
i,0.7527279218656314;
i,0.4257144095456682;
i,0.5686494593418224;
k,0.13943745784187478;
k,0.489723676648291;
k,0.09878467574586358;
k,0.4473061694374273;
k,0.15869771110540343;
k,0.10838984982236366;
k,0.2545067748689618;
k,0.674224358705069;
k,0.5137584622849343;
k,0.7338065812122502;
k,0.5635408540169303;
l,0.14589760638737703;
l,0.6474912814561725;
l,0.40687974141773986;
l,0.13158704137410615;
l,0.17161517877914012;
l,0.6366866510337301;
l,0.6436719384345173;
l,0.3655614893601494;
m,0.23094317015943855;
m,0.5194803570682875;
m,0.0011364037327012966;
m,0.37198909495135013;
m,0.5700414579158662;
m,0.1396981672071178;
n,0.616813292372282;
n,0.44889399667360896;
n,0.2854524540946858;
n,0.15448402368840708;
n,0.41801651721965616;
n,0.6081357959400394;
n,0.5091044232304043;
n,0.06409772783244727;
o,0.6756675620309083;
o,0.26435550163503096;
o,0.10244775808406625;
o,0.8738771947091878;
o,0.6055856224315337;
o,0.6193773242078051;
p,0.09946967158363262;
p,0.047061622094210276;
p,0.3037753139080973;
p,0.11818639459408786;
p,0.9831657237528186;
p,0.7506552027022488;
q,0.9106348940911186;
q,0.10806217933229334;
q,0.9603331927655342;
q,0.2375511719948704;
q,0.3166763312980718;
q,0.538526841025247;
r,0.6668652346662075;
r,0.799339166984086;
r,0.20569254255623626;
r,0.10572595062018009;
r,0.5026180031490319;
r,0.32470622073245914;
r,0.3082539699150353;
r,0.1108157873293264;
r,0.407352964490583;
r,0.9860106679438612;
s,0.4481596391044518;
s,0.5898841755573103;
s,0.22128888089886534;
s,0.7513779999885859;
s,0.4666530037078259;
s,0.025081426167999576;
s,0.8595677733103182;
s,0.8261545134508138;
t,0.6246611606607221;
t,0.34629406833580156;
t,0.3914420626927436;
t,0.4061356205392562;
u,0.99768119907845;
u,0.9157448979689422;
u,0.7444747958531579;
v,0.3252057509278903;
v,0.6671741467630046;
v,0.8107809699249858;
v,0.6304309911474957;
v,0.29174514951008135;
v,0.371246331400105;
v,0.5621001863323367;
w,0.49965402970204886;
w,0.20170323726259842;
w,0.3134386502435452;
w,0.22702976876396763;
w,0.926996571723687;
w,0.49425052668351743;
w,0.5801675971341534;
x,0.9535261214316363;
x,0.31305411777401726;
x,0.4999067458123706;
x,0.455661801829786;
y,0.08359386863319596;
y,0.038396679587877736;
y,0.7124628283475087;
y,0.7683911927055324;
z,0.8675882473775167;
z,0.09298823163109571;
z,0.5455170365411862;
z,0.8223641697550386;
