a,0.7131330937281123;
b,0.7344228480770042;
b,0.4784867118634666;
b,0.183842760719776;
b,0.8508201545071192;
b,0.7642903383939408;
b,0.6667774376706621;
b,0.14575519270934445;
c,0.34489518917725714;
c,0.368762369022243;
c,0.9373360884859054;
c,0.18161429218037617;
c,0.4506295282563828;
c,0.05678339200753668;
d,0.5618482216311866;
d,0.979047564217931;
d,0.034388846954026664;
d,0.1829184397572674;
d,0.4607250663803748;
d,0.5750332490357443;
d,0.7403164838371447;
d,0.05640244545103912;
e,0.724253539077512;
e,0.2826621011286572;
e,0.8345820206817947;
e,0.9693272459208361;
e,0.5983942421809798;
f,0.6439869432791168;
f,0.5974747846080014;
f,0.8839608839910119;
f,0.26811782207020574;
f,0.7140770651951163;
f,0.31692189773526447;
f,0.3362775018398735;
f,0.29080899921805514;
f,0.982953812037963;
g,0.4508452587850532;
h,0.8216548190157322;
h,0.26724023041313527;
h,0.5654923313714909;
h,0.5283561669337035;
h,0.2288587275730617;
i,0.7622865327514216;
i,0.6203992959336531;
i,0.4543223255006188;
i,0.6039200754067324;
i,0.32842526166687525;
i,0.8782433109518849;
j,0.20262582825695474;
j,0.38137283137696454;
j,0.14072643215816627;
j,0.001975627159934157;
j,0.9765593350286437;
j,0.8056265913682543;
j,0.47185730067117526;
k,0.9199861330019611;
k,0.6768219968550971;
k,0.48381172261208005;
k,0.2172001770836235;
k,0.367559618391576;
k,0.6045922554340235;
k,0.17270743252675513;
k,0.7753627453620808;
k,0.06302970304392952;
k,0.8507268328468361;
k,0.9044099564575208;
l,0.25967858651764475;
l,0.669293785956466;
l,0.6343544876141388;
l,0.7663839735467389;
l,0.30666183132438474;
l,0.6643800131344996;
m,0.18848937349057016;
m,0.8659655569170248;
m,0.8919299431326645;
m,0.16526563223264334;
m,0.24716323112958838;
n,0.24737046127986373;
n,0.4322789513944981;
n,0.4350673035247239;
n,0.12316545968229176;
n,0.7683818838345948;
o,0.4849931347219216;
o,0.8613892717124618;
o,0.06621418325647854;
o,0.672188541180241;
o,0.5735972332851877;
o,0.10842183658418814;
p,0.7465931293186254;
p,0.8449189600961563;
p,0.3798143462153246;
p,0.5401190343505547;
q,0.18217269962815597;
q,0.21678769164308664;
q,0.6270369353941357;
q,0.4816118761142273;
r,0.3095817809017639;
r,0.3261918815939343;
r,0.4533522137039908;
r,0.1668539018167028;
r,0.6850339981247517;
s,0.2566592859625004;
s,0.22779675804928312;
s,0.258413770761457;
s,0.7540826320640298;
s,0.012843635069751724;
s,0.6666947834972434;
t,0.5062090897036623;
t,0.02631474479757423;
t,0.3399139218535291;
t,0.32547341667994967;
t,0.9557366222404274;
t,0.6098685418517885;
t,0.1708942238995449;
u,0.6349314857657187;
u,0.7607338130272864;
u,0.5739554317199745;
u,0.557961177804644;
u,0.5238733916745796;
u,0.061511816510412265;
u,0.8642582263108359;
u,0.5392126142615629;
u,0.2040653375521344;
v,0.09334104081527839;
v,0.8892258575711788;
v,0.5001280701046495;
v,0.48328152327084295;
v,0.7198882027425397;
v,0.3337966025312614;
v,0.25929967676110965;
w,0.10249330842597704;
w,0.02202316998414866;
w,0.013231768026421342;
w,0.7497293929165236;
w,0.8092734973760063;
x,0.7999911206564312;
x,0.7792976441564385;
x,0.3912007920123658;
x,0.7781245805216703;
x,0.29492284881764974;
x,0.19439708808174527;
x,0.9066297793367921;
y,0.7444459596457583;
y,0.6438209571253587;
z,0.8462941138048455;
z,0.12650873690622033;
z,0.4610943031150281;
z,0.19584351608813166;
z,0.2556763343895533;
z,0.29008865991647503;
