a,0.9568392588892545;
b,0.5417620212489924;
b,0.69491799028039;
b,0.6611338788446389;
c,0.8278865720637434;
c,0.8429778167009081;
c,0.37054633072708776;
c,0.30730149372962456;
c,0.5348834119947606;
c,0.49560526333333677;
c,0.09556713026290076;
c,0.15013442443109604;
d,0.7415630482248037;
d,0.018649410832699553;
d,0.8484132475930953;
d,0.08258255242128687;
d,0.8555213632426952;
d,0.5271226115204954;
e,0.25126855065111353;
e,0.9507041697406322;
f,0.5082040521949439;
f,0.12496719592247685;
g,0.7733959658278767;
g,0.8464043232897004;
g,0.9189231672194008;
g,0.566600468119257;
g,0.04807406277918036;
g,0.23254411373979123;
g,0.26623970729831825;
g,0.15698820026006655;
g,0.8566897440939183;
h,0.2225508201817601;
h,0.9986863864612773;
h,0.5619679562428425;
h,0.7806518814863287;
h,0.49906354201589453;
h,0.7132280417197239;
h,0.48536221562222326;
i,0.6943735707372917;
i,0.266767091406931;
i,0.2978006464942845;
i,0.35527937468694437;
j,0.73712064677854;
j,0.7501458839879974;
j,0.7792760119100794;
j,0.7178462032333487;
j,0.37476914569910824;
j,0.7881088308578065;
j,0.1340833481012098;
k,0.880191246609312;
k,0.48960058928627725;
k,0.9530368966180528;
l,0.08889364597623683;
l,0.7436258594483427;
l,0.3626943826213018;
l,0.35515122039087843;
l,0.7830312180961074;
l,0.9417106777397178;
l,0.3970943472432976;
l,0.2891781641818256;
l,0.6675322467270076;
m,0.5747475503346383;
m,0.6190497849135689;
m,0.9209708496252842;
m,0.13976780103030517;
m,0.8450637301233408;
m,0.06266712816556197;
m,0.7412564040326186;
m,0.1655026053025923;
n,0.9217617672914671;
n,0.8881920935141887;
n,0.8416137908786036;
o,0.8672610942220393;
o,0.8046948764775251;
o,0.5307160265894811;
o,0.128808132283592;
p,0.30402434831318026;
p,0.5883797556971413;
p,0.2636329230654608;
p,0.17986978913642593;
p,0.9331767151976277;
p,0.5764704023111417;
q,0.3166367166901841;
q,0.7598681590258768;
q,0.5296473794891627;
q,0.3630278525256866;
r,0.8547480076059754;
r,0.20734545714874286;
r,0.36205055138966713;
r,0.43409400585345603;
r,0.09410147396745328;
s,0.7073734864213179;
s,0.3263173856827394;
s,0.5375415066323872;
s,0.2089735825662683;
s,0.7857508162754855;
s,0.25830985036784226;
s,0.4378110799340996;
s,0.37491139683161323;
t,0.30776443144113963;
t,0.0004852564608018861;
t,0.918498945189668;
t,0.743873298308939;
t,0.4468489659186391;
t,0.4942143778079685;
t,0.09725900765590667;
u,0.5643492728587503;
u,0.744957190728118;
u,0.9102628450929997;
u,0.7732204404024625;
u,0.6586365084150342;
u,0.4112357439468701;
u,0.30196809190475016;
u,0.8726901745607393;
v,0.5216189023028781;
v,0.9629555954150776;
w,0.8683228878291231;
w,0.5572989709566583;
w,0.15763433566356055;
w,0.3487210301603426;
x,0.12327669786115114;
x,0.7848551825983305;
x,0.5524296111130026;
x,0.06685777931706527;
x,0.1827938219659454;
x,0.10997781899974124;
x,0.9729278190874376;
x,0.22936880094012047;
x,0.7514474208111248;
x,0.48655701482009883;
y,0.41515792955510156;
y,0.9935748852513416;
y,0.9949648607640408;
y,0.7324634518280231;
y,0.11255371042534879;
y,0.4445096408233621;
y,0.3365947892419643;
y,0.9387138412545952;
y,0.9654829669348735;
y,0.5499394836945654;
y,0.728173883317421;
y,0.29947576780112695;
z,0.2065926268318733;
z,0.24633825235731788;
z,0.4847442450936057;
z,0.507064629063523;
z,0.48186436819531064;
z,0.4274478089595256;
z,0.785681862440329;
z,0.4850619800408862;
